26545661,"Sunny, Warm Bohemian Villa with Tropical Vibe",2018-07-03,1,1,,,1,UN1669,PA0001,E0011,2018-07-05 15:22:56,NULL,NULL,NULL
L0001362,Enchanting Villa by Superb beach,2016-08-01,1,0,Ant.martin@laposte.net,calgradjing@yahoo.com,0,UN1239,PA0001,E0000,2018-07-05 15:22:58,NULL,NULL,NULL
L0001361,Spacious Charming Villa by Bingin Beach town,2016-08-01,1,0,Ant.martin@laposte.net,8052,0,UN1239,PA0007,E0000,2018-07-05 15:22:58,NULL,NULL,NULL
L0000662,Exotic Stone House on Top of the Southern Hill,2017-10-12,1,0,6056,744,1,UN0786,PA0015,E0003,2018-07-05 15:22:57,NULL,NULL,NULL
L0000601,,0000-00-00,0,0,,,0,UN0000,PA0000,E0000,2018-07-05 15:22:57,NULL,NULL,NULL
L0000391,Cozy House with Eccentric Decoration #3,2018-01-13,1,0,2730,744,0,UN1318,PA0000,E0011,2018-07-05 15:22:57,NULL,NULL,NULL
26502455,"Lovely, Tranquil Villa with Spacious Garden",2018-07-02,1,1,,,1,UN0014,PA0009,E0011,2018-07-05 15:22:56,NULL,NULL,NULL
26481412,Urban Style Wood and Brick Cabin in an Art Gallery,2018-07-01,1,1,,,1,UN1600,PA0017,E0003,2018-07-05 15:22:56,NULL,NULL,NULL
26476591,Living in Warm Elegant Villa with Ocean View,2018-07-01,1,1,6056,744,1,UN0260,PA0010,E0011,2018-07-05 15:22:56,NULL,NULL,NULL
26460519,Extremely Central Guesthouse in Bingin,2018-06-30,1,1,6056,744,1,UN1648,PA0007,E0017,2018-07-05 15:22:56,NULL,NULL,NULL
26458712,"Pretty Room, Short Drive to Padang-Padang Beach",2018-06-30,1,1,6056,744,1,UN1652,PA0009,E0017,2018-07-05 15:22:56,NULL,NULL,NULL
26458263,Dinar Hills - Your Second Home at Pandawa Beach,2018-06-30,1,2,8126,744,0,UN0267,PA0008,E0017,2018-07-05 15:22:56,NULL,NULL,NULL
26457856,Brightly Bungalow at the Heart of Bingin,2018-06-30,1,1,6056,744,1,UN1640,PA0009,E0017,2018-07-05 15:22:56,NULL,NULL,NULL
26454008,Charming Villa with Panoramic Ocean View,2018-06-30,1,1,6056,744,1,UN0258,PA0001,E0017,2018-07-05 15:22:56,NULL,NULL,NULL
26374872,Perfectly Located Bungalow to Enjoy Bali Icon,2018-06-27,1,1,6056,744,1,UN1642,PA0012,E0017,2018-07-05 15:22:56,NULL,NULL,NULL
26374690,Stay in a Charming Villa Owned by French Designer,2018-06-27,1,1,6056,744,1,UN1635,PA0001,E0017,2018-07-05 15:22:56,NULL,NULL,NULL
26372890,Extremely Centre Guesthouse at Bingin,2018-06-27,1,1,6056,744,2,UN1647,PA0009,E0017,2018-07-05 15:22:56,NULL,NULL,NULL
26371745,Lovely Bungalow Next to Cashew Tree Bingin,2018-06-27,1,1,6056,744,1,UN1639,PA0007,E0017,2018-07-05 15:22:56,NULL,NULL,NULL
26370402,Beachfront Tropical Cabin in Sunrise Spot,2018-06-28,1,2,6056,744,1,UN0062,PA0006,E0011,2018-07-05 15:22:56,NULL,NULL,NULL
26369585,Stay in a Beautiful Bungalow at The Bingin Gate,2018-06-27,1,1,6056,744,1,UN1638,PA0010,E0017,2018-07-05 15:22:56,NULL,NULL,NULL
26369199,Bungalow with a Big Pool and Garden in Bingin,2018-06-27,1,1,6056,744,1,UN1637,PA0009,E0017,2018-07-05 15:22:56,NULL,NULL,NULL
26368257,Getaway in a Lovely Bungalow Next to the Bali Icon,2018-06-27,1,1,6056,744,1,UN1641,PA0009,E0017,2018-07-05 15:22:56,NULL,NULL,NULL
26337531,Fresh New Bungalow at the Gate of Bingin Beach,2018-06-26,1,1,6056,744,1,UN1636,PA0009,E0017,2018-07-05 15:22:56,NULL,NULL,NULL
26336180,Warm and Chic Holiday Villa with Ocean View,2018-06-26,1,1,6056,744,1,UN1262,PA0010,E0011,2018-07-05 15:22:56,NULL,NULL,NULL
26305661,Rustic Room in Villa at Sunset Beach Village,2018-06-25,1,1,6056,744,3,UN1262,PA0011,E0011,2018-07-05 15:22:56,NULL,NULL,NULL
26305327,Chic Beachfront Guesthouse with Mt Agung View,2018-06-25,1,2,538,744,0,UN0052,PA0006,E0011,2018-07-05 15:22:56,NULL,NULL,NULL
26281850,"New, Tropical Villa, Very Close to Bingin Beach",2018-06-24,1,2,2202,calgradjing@yahoo.com,0,UN0035,PA0010,E0016,2018-07-05 15:22:56,NULL,NULL,NULL
26239149,Chic Apartment Walking Distance to Double Six,2018-06-22,1,1,625,744,0,UN1520,PA0009,E0011,2018-07-05 15:22:56,NULL,NULL,NULL
26208793,Mild Rustic Cabin in Walking Distance to the Beach,2018-06-22,1,1,info@sannyasyogaacademy.com (USD),744,0,UN1615,PA0009,E0017,2018-07-05 15:22:56,NULL,NULL,NULL
26172958,Feel Like Home in a Yoga Site Next to Thomas Beach,2018-06-20,1,1,info@sannyasyogaacademy.com (USD),744,0,UN1614,PA0009,E0017,2018-07-05 15:22:56,NULL,NULL,NULL
