"L0000005","Living in Warm Elegant Villa with Ocean View","UN0000"
"L0000010","Charming Villa with Panoramic Ocean View","UN0000"
"L0000020","Warm and Chic Holiday Villa with Ocean View","UN0000"
"L0000025","Mild Rustic Cabin in Walking Distance to the Beach","UN0000"
"L0000026","Feel Like Home in a Yoga Site Next to Thomas Beach","UN0000"
"L0000029","Luxury Private Villa Close to Pandawa Beach","UN0000"
"L0000038","Holiday in Chic Modern Balinese Guesthouse","UN0000"
"L0000040","Discover Canggu from Modern Balinese Guesthouse","UN0000"
"L0000046","Neat and Nice Yoga House Next to a Secluded Beach","UN0000"
"L0000047","Unwind in Elegant Luxury Villa with Tropical Vibes","UN0000"
"L0000048","Fascinating Yoga House with a Scenic Rooftop Spot","UN0000"
"L0000057","Live in Elegant Villa with a View of Pandawa Beach","UN0000"
"L0000060","Lighthouse Lodge on Uluwatu's chalky beaches #T7","UN0000"
"L0000065","Lighthouse Lodge on Uluwatu's chalky beaches #T1","UN0000"
"L0000072","Farmer's Hidden Cabin with Rice Paddy View #TP","UN0000"
"L0000081","Vintage Wood Cabin, Walking Distance to the Beach","UN0000"
"L0000082","Farmer's Hidden Wooden Cabin with Rice Paddy View","UN0000"
"L0000084","Garden Pool Villa 7 mins to Grand Temple Uluwatu","UN0000"
"L0000090","Minister's Pool Villa at Keraton Residence Area","UN0000"
"L0000095","Tropical and Tranquil Guesthouse in Nusa Penida","UN0000"
"L0000096","Cozy Joglo with Pool in Surfer Village","UN0000"
"L0000098","Heritage Room in Minister's House wCourtyardPool","UN0000"
"L0000102","Get Tan in a Private Woody Cabin at Bingin Village","UN0000"
"L0000106","Dinar Hills - Garden Suite Room by the Beach","UN0000"
"L0000108","Comfy Triangle Cabin with Tropical Ambiance","UN0000"
"L0000109","Lovely Lodge to Enjoy the Canggu Breeze","UN0000"
"L0000110","Villager's Wooden Cabin by the Rice Field","UN0000"
"L0000111","Cozy Up in a Vintage Lodge with Canggu Vibrant","UN0000"
"L0000128","Holiday Tropical Villa in Bali's Cultural Heart","UN0000"
"L0000130","Cozy Base for Your Family's Fun Holiday in Canggu","UN0000"
"L0000137","A Fine Room with Wondrous Rice Field View #G","UN0000"
"L0000145","Homey Room in Cozy Heritage House in Yogyakarta","UN0000"
"L0000146","Modern Room with Stunning Green View of Cemagi","UN0000"
"L0000150","Tranquil Heritage House with Balinese Interior","UN0000"
"L0000151","Spacious Villa with Magnificant Living Room","UN0000"
"L0000153","Brightly Room Surrounded by Rice Field in Cemagi","UN0000"
"L0000159","Tropical Tranquil Condo in The Heart of Seminyak","UN0000"
"L0000162","Tropical Sunny Guesthouse with Green Lawn & Pool#7","UN0000"
"L0000172","Comfy and Tidy Surf Lodge by Uluwatu Beach","UN0000"
"L0000189","Warm Authentic Native Family Home for Big Groups","UN0000"
"L0000211","Warm Authentic Native Family Home for Big Groups","UN0000"
"L0000214","Balinese Hospitality Tranquil Room in Canggu #D3","UN0000"
"L0000215","Balinese Comfy Room Near from Canggu Beach #F5","UN0000"
"L0000224","Chic Authentic Designer House in Central Yogya #D1","UN0000"
"L0000231","Breathtaking Room Located in Cemagi Rice Field #1","UN0000"
"L0000233","Contemporary and Extravagance Villa in Canggu","UN0000"
"L0000234","Unique and Comfy Barn with a Quiet Neighborhood","UN0000"
"L0000238","Modern and Stylish 1BR Villa with Private Pool","UN0000"
"L0000240","Villa with Stylish Interior and Private Pool","UN0000"
"L0000246","Tropical Holiday Room by Uluwatu Beach #D1","UN0000"
"L0000248","Comfy, Cozy Balinese House @Strategic Area","UN0000"
"L0000249","Bobby's Home Uluwatu with Local Hospitality","UN0000"
